Borussia Dortmund - Arsenal FC,,,,,,,Tuesday 16 September 2014 - 20.45CET (20.45 local time),,,,,,,,
Match press kit,,,,,,,,,,,"BVB Stadion Dortmund, Dortmund",,,,
Arsenal FC,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Wojciech Szczęsny,POL 18/04/1990,,24,-,2,-,-,-,4,-,19,-,25,-
13,David Ospina,COL 31/08/1988,,26,-,-,-,-,-,-,-,-,-,2,-
26,Damián Martínez,ARG 02/09/1992,,22,-,-,-,-,-,-,-,-,-,-,-
43,Ryan Huddart,ENG 06/03/1997,,17,-,-,-,-,-,-,-,-,-,-,-
57,Josh Vickers,ENG 01/12/1995,,18,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Mathieu Debuchy,FRA 28/07/1985,,29,S,2,-,-,-,4,-,18,-,43,1
3,Kieran Gibbs,ENG 26/09/1989,,24,-,-,-,-,-,1,-,22,-,25,1
4,Per Mertesacker,GER 29/09/1984,,29,-,1,-,-,-,3,-,40,2,75,3
6,Laurent Koscielny,FRA 10/09/1985,,29,-,2,-,-,-,3,1,22,2,26,2
18,Nacho Monreal,ESP 26/02/1986,,28,-,2,-,-,-,4,-,8,-,20,-
21,Calum Chambers,ENG 20/01/1995,,19,-,2,-,-,-,4,-,-,-,2,-
39,Héctor Bellerín,ESP 19/03/1995,,19,-,-,-,-,-,-,-,-,-,-,-
42,Isaac Hayden,ENG 22/03/1995,,19,-,-,-,-,-,-,-,-,-,-,-
52,Tafari Moore,ENG 05/07/1997,,17,-,-,-,-,-,-,-,-,-,-,-
54,Brandon Ormonde-Ottewill,ENG 21/12/1995,,18,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
7,Tomáš Rosický,CZE 04/10/1980,,33,-,1,-,-,-,-,-,67,11,92,12
8,Mikel Arteta,ESP 26/03/1982,,32,-,1,-,-,-,2,-,27,-,55,6
10,Jack Wilshere,ENG 01/01/1992,,22,-,2,-,-,-,3,1,19,4,24,4
11,Mesut Özil,GER 15/10/1988,,25,-,1,-,-,-,3,-,49,5,71,6
15,Alex Oxlade-Chamberlain,ENG 15/08/1993,,21,-,2,-,-,-,4,-,10,1,12,1
16,Aaron Ramsey,WAL 26/12/1990,,23,-,1,-,-,-,4,2,28,5,35,8
19,Santi Cazorla,ESP 13/12/1984,,29,-,2,-,-,-,3,-,23,-,70,9
20,Mathieu Flamini,FRA 07/03/1984,,30,-,2,-,-,-,3,-,46,-,67,1
24,Abou Diaby,FRA 11/05/1986,,28,-,-,-,-,-,-,-,26,4,33,4
27,Serge Gnabry,GER 14/07/1995,,19,-,-,-,-,-,-,-,3,-,3,-
34,Francis Coquelin,FRA 13/05/1991,,23,-,-,-,-,-,-,-,7,-,12,1
35,Gedion Zelalem,GER 26/01/1997,,17,-,-,-,-,-,-,-,-,-,-,-
46,Jack Jebb,ENG 11/09/1995,,19,-,-,-,-,-,-,-,-,-,-,-
47,Glen Kamara,FIN,28/10/1995,18,-,-,-,-,-,-,-,-,-,-,-
Forwards,,,,,,,,,,,,,,,
9,Lukas Podolski,GER 04/06/1985,,29,-,-,-,-,-,1,-,18,8,32,13
14,Theo Walcott,ENG 16/03/1989,,25,-,-,-,-,-,-,-,45,9,53,12
17,Alexis Sánchez,CHI,19/12/1988,25,-,2,1,-,-,4,2,24,3,36,4
22,Yaya Sanogo,FRA 27/01/1993,,21,-,-,-,-,-,2,-,1,-,2,-
28,Joel Campbell,CRC 26/06/1992,,22,-,-,-,-,-,1,-,5,1,5,1
29,Danny Welbeck,ENG 26/11/1990,,23,-,-,-,-,-,1,-,16,4,19,4
38,Chuba Akpom,ENG 09/10/1995,,18,-,-,-,-,-,-,-,-,-,-,-
45,Alex Iwobi,ENG 03/05/1996,,18,-,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9

Borussia Dortmund - Arsenal FC,,,,,,Tuesday 16 September 2014 - 20.45CET (20.45 local time),,,,,,,,
Match press kit,,,,,,,,,,"BVB Stadion Dortmund, Dortmund",,,,
Arsenal FC,,,,,,,,,,,,,,
,,,,,,Current season,,,,,All-time,,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
-,Arsène Wenger,FRA 22/10/1949,64,-,2,-,-,-,-,-,154,-,212,-
,,,,,,,,,,,,,,10
