Olympiacos FC - Club Atlético de Madrid,,,,,,,Tuesday 16 September 2014 - 20.45CET (21.45 local time),,,,,,,,
Match press kit,,,,,,,,,,"Stadio Georgios Karaiskakis, Piraeus",,,,,
Club Atlético de Madrid,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Miguel Ángel Moyà,ESP 02/04/1984,,30,-,-,-,-,-,3,-,1,-,7,-
13,Jan Oblak,SVN 07/01/1993,,21,-,-,-,-,-,-,-,-,-,4,-
30,Santiago Canedo,ESP 23/02/1996,,18,-,-,-,-,-,-,-,-,-,-,-
33,David Gil,ESP 11/01/1994,,20,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Diego Godín,URU 16/02/1986,,28,-,-,-,-,-,3,-,17,2,49,4
3,Guilherme Siqueira,ITA,28/04/1986,28,-,-,-,-,-,-,-,3,-,10,-
15,Cristian Ansaldi,ARG 20/09/1986,,27,-,-,-,-,-,1,-,15,-,38,1
18,Jesús Gámez,ESP 10/04/1985,,29,-,-,-,-,-,-,-,8,-,10,-
20,Juanfran,ESP 09/01/1985,,29,-,-,-,-,-,3,-,12,-,44,2
23,Miranda,BRA 07/09/1984,,30,-,-,-,-,-,3,1,13,2,28,3
24,José María Giménez,URU 20/01/1995,,19,-,-,-,-,-,-,-,-,-,-,-
28,Lucas,FRA 14/02/1996,,18,-,-,-,-,-,-,-,-,-,-,-
31,Cañete,ESP 22/04/1995,,19,-,-,-,-,-,-,-,-,-,-,-
35,Sergi,ESP 26/05/1995,,19,-,-,-,-,-,-,-,-,-,-,-
37,Alejandro Llama,ESP 26/01/1996,,18,-,-,-,-,-,-,-,-,-,-,-
39,Chipi,ESP 13/03/1996,,18,-,-,-,-,-,-,-,-,-,-,-
40,Nacho Monsalve,ESP 27/04/1994,,20,-,-,-,-,-,-,-,-,-,-,-
42,Alejandro Neila,ESP 18/01/1996,,18,-,-,-,-,-,-,-,-,-,-,-
43,Borja París,ESP 18/01/1994,,20,-,-,-,-,-,-,-,-,-,-,-
47,Aitor,ESP 13/08/1994,,20,-,-,-,-,-,-,-,-,-,-,-
50,Alberto,ESP 27/01/1995,,19,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
4,Mario Suárez,ESP 24/02/1987,,27,-,-,-,-,-,3,-,5,-,29,-
5,Tiago,POR 02/05/1981,,33,-,-,-,-,-,1,1,40,4,68,8
6,Koke,ESP 08/01/1992,,22,-,-,-,-,-,3,-,13,1,34,1
7,Antoine Griezmann,FRA 21/03/1991,,23,-,-,-,-,-,3,-,6,-,8,1
8,Raúl García,ESP 11/07/1986,,28,-,-,-,-,-,2,-,21,5,77,9
10,Arda Turan,TUR 30/01/1987,,27,-,-,-,-,-,1,1,14,4,64,14
14,Gabi,ESP 10/07/1983,,31,-,-,-,-,-,3,-,12,-,37,1
17,Saúl Ñíguez,ESP 21/11/1994,,19,-,-,-,-,-,2,-,-,-,8,-
21,Cristian Rodríguez,URU 30/09/1985,,28,-,-,-,-,-,1,-,32,1,61,4
27,Benjamín,GHA 04/01/1994,,20,-,-,-,-,-,-,-,-,-,-,-
29,Kevin Caicedo,COL 18/01/1996,,18,-,-,-,-,-,-,-,-,-,-,-
38,Borja Martínez,ESP 08/02/1995,,19,-,-,-,-,-,-,-,-,-,-,-
41,Juan Moreno,ESP 11/05/1997,,17,-,-,-,-,-,-,-,-,-,-,-
45,Fede Prieto,ESP 12/04/1996,,18,-,-,-,-,-,-,-,-,-,-,-
46,Carlos,ESP 31/08/1994,,20,-,-,-,-,-,-,-,-,-,-,-
51,Xu Xin,CHN 19/04/1994,,20,-,-,-,-,-,-,-,-,-,-,-
Forwards,,,,,,,,,,,,,,,
9,Mario Mandžukić,CRO 21/05/1986,,28,-,-,-,-,-,3,1,20,6,54,17
,,,,,,,,,,,,,,,9

Olympiacos FC - Club Atlético de Madrid,,,,,,,Tuesday 16 September 2014 - 20.45CET (21.45 local time),,,,,,,,
Match press kit,,,,,,,,,,"Stadio Georgios Karaiskakis, Piraeus",,,,,
Club Atlético de Madrid,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
11,Raúl Jiménez,MEX 05/05/1991,,23,-,-,-,-,-,3,-,-,-,-,-
22,Alessio Cerci,ITA,23/07/1987,27,-,-,-,-,-,-,-,-,-,8,3
26,Ivi,ESP 10/02/1995,,19,-,-,-,-,-,-,-,-,-,-,-
32,Borja Galán,ESP 26/04/1993,,21,-,-,-,-,-,-,-,-,-,-,-
34,Ian González,ESP 11/02/1993,,21,-,-,-,-,-,-,-,-,-,-,-
48,Carlos,ESP 21/04/1995,,19,-,-,-,-,-,-,-,-,-,-,-
49,Samuel Villa,ESP 16/09/1994,,19,-,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,,
-,Diego Simeone,ARG 28/04/1970,,44,S,-,-,-,-,-,-,13,-,31,-
,,,,,,,,,,,,,,,10
