Real Madrid CF - FC Basel 1893,,,,,,,Tuesday 16 September 2014 - 20.45CET (20.45 local time),,,,,,,,
Match press kit,,,,,,,,,,"Estadio Santiago Bernabéu, Madrid",,,,,
FC Basel 1893,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Tomáš Vaclík,CZE 29/03/1989,,25,-,-,-,-,-,8,-,-,-,13,-
18,Germano Vailati,SUI,30/08/1980,34,-,-,-,-,-,-,-,-,-,9,-
23,Pascal Albrecht,SUI,29/04/1995,19,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
4,Philipp Degen,SUI,15/02/1983,31,-,-,-,-,-,4,-,2,-,42,1
5,Arlind Ajeti,SUI,25/09/1993,20,-,-,-,-,-,1,-,4,-,13,-
6,Walter Samuel,ARG 23/03/1978,,36,-,-,-,-,-,2,-,68,3,92,6
15,Ivan Ivanov,BUL,25/02/1988,26,-,-,-,-,-,-,-,6,-,36,3
16,Fabian Schär,SUI,20/12/1991,22,-,-,-,-,-,7,1,6,-,26,6
17,Marek Suchý,CZE 29/03/1988,,26,-,-,-,-,-,7,-,17,-,66,-
19,Behrang Safari,SWE 09/02/1985,,29,-,-,-,-,-,6,-,16,-,57,-
27,Naser Aliji,MKD 27/12/1993,,20,-,-,-,-,-,2,1,-,-,3,-
32,Michael Gonçalves,POR 10/03/1995,,19,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
7,Luca Zuffi,SUI,27/03/1990,24,-,-,-,-,-,6,2,-,-,8,3
8,Geoffroy Serey Die,CIV,07/11/1984,29,-,-,-,-,-,3,-,4,-,20,-
10,Matías Delgado,ARG 15/12/1982,,31,-,-,-,-,-,6,1,10,-,54,16
14,Yoichiro Kakitani,JPN,03/01/1990,24,-,-,-,-,-,5,2,-,-,-,-
20,Fabian Frei,SUI,08/01/1989,25,-,-,-,-,-,7,-,16,3,49,5
21,Marcelo Díaz,CHI,30/12/1986,27,S,-,-,-,-,5,-,4,1,28,4
24,Ahmed Hamoudi,EGY 30/07/1990,,24,-,-,-,-,-,-,-,-,-,-,-
33,Mohamed Elneny,EGY 11/07/1992,,22,-,-,-,-,-,4,-,3,-,20,-
34,Taulant Xhaka,ALB,28/03/1991,23,-,-,-,-,-,8,-,7,-,16,-
39,Davide Calla,SUI,06/10/1984,29,-,-,-,-,-,5,1,-,-,11,2
Forwards,,,,,,,,,,,,,,,
9,Marco Streller,SUI,18/06/1981,33,-,-,-,-,-,6,4,22,3,68,23
11,Shkelzen Gashi,ALB,15/07/1988,26,-,-,-,-,-,8,4,-,-,10,1
25,Derlis Gonzalez,PAR 20/03/1994,,20,-,-,-,-,-,7,1,-,-,-,-
30,Giovanni Sio,CIV,31/03/1989,25,-,-,-,-,-,3,-,5,1,14,3
36,Breel Embolo,CMR 14/02/1997,,17,-,-,-,-,-,2,1,-,-,4,-
38,Albian Ajeti,SUI,26/02/1997,17,-,-,-,-,-,-,-,-,-,1,-
Coach,,,,,,,,,,,,,,,
-,Paulo Sousa,POR 30/08/1970,,44,-,-,-,-,-,-,-,-,-,12,-
,,,,,,,,,,,,,,,8
