FC Porto - FC BATE Borisov,,,,,Wednesday 17 September 2014 - 20.45CET (19.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,"Estádio do Dragão, Porto",,,
Squad list,,,,,,,,,,,,,,
FC Porto,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
12,Fabiano,BRA 29/02/1988,,26,2,-,-,-,-,-,-,-,5,-
24,Ricardo,POR 06/07/1982,,32,-,-,-,-,-,-,-,-,5,-
25,Andrés Fernández,ESP 16/12/1986,,27,-,-,-,-,-,-,-,-,-,-
41,Kadu,ANG 30/11/1994,,19,-,-,-,-,-,-,-,-,-,-
51,André Caio,POR 23/02/1994,,20,-,-,-,-,-,-,-,-,-,-
61,João Costa,POR 02/02/1996,,18,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,
2,Danilo,BRA 15/07/1991,,23,2,-,-,-,-,-,13,-,22,-
3,Bruno Martins Indi,NED 08/02/1992,,22,2,-,-,-,-,-,-,-,10,-
4,Maicon,BRA 14/09/1988,,26,2,-,-,-,-,-,10,-,25,-
5,Iván Marcano,ESP 23/06/1987,,27,-,-,-,-,-,-,7,-,49,3
26,Alex Sandro,BRA 26/01/1991,,23,2,-,-,-,-,-,12,-,20,-
42,David Carneiro,POR 14/02/1992,,22,-,-,-,-,-,-,-,-,-,-
45,Rafa,POR 09/05/1995,,19,-,-,-,-,-,-,-,-,-,-
73,Diogo Verdasca,POR 26/10/1996,,17,-,-,-,-,-,-,-,-,-,-
94,Tomás Mota,POR 25/03/1996,,18,-,-,-,-,-,-,-,-,-,-
95,Rui Silva,POR 05/06/1996,,18,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,
6,Casemiro,BRA 23/02/1992,,22,2,-,-,-,-,-,6,-,8,-
8,Yacine Brahimi,ALG 08/02/1990,,24,2,1,-,-,-,-,-,-,2,1
15,Evandro,ITA,23/08/1986,28,2,-,-,-,-,-,-,-,18,2
16,Hector Herrera,MEX 19/04/1990,,24,2,1,-,-,-,-,3,-,10,1
30,Óliver Torres,ESP 10/11/1994,,19,2,-,-,-,-,-,4,-,6,-
36,Rúben Neves,POR 13/03/1997,,17,2,-,-,-,-,-,-,-,2,-
46,Mikel Agu,NGA 27/05/1993,,21,-,-,-,-,-,-,-,-,-,-
48,Francisco Ramos,POR 10/04/1995,,19,-,-,-,-,-,-,-,-,-,-
50,João Graça,POR 18/06/1995,,19,-,-,-,-,-,-,-,-,-,-
56,Tomás Podstawski,POR 30/01/1995,,19,-,-,-,-,-,-,-,-,-,-
66,Rui Moreira,POR 31/05/1996,,18,-,-,-,-,-,-,-,-,-,-
76,Clever,POR 03/02/1996,,18,-,-,-,-,-,-,-,-,-,-
78,Leandro Silva,POR 04/05/1994,,20,-,-,-,-,-,-,-,-,-,-
Forwards,,,,,,,,,,,,,,
7,Ricardo Quaresma,POR 26/09/1983,,30,1,-,-,-,-,-,38,4,75,15
9,Jackson Martínez,COL 03/10/1986,,27,2,1,-,-,-,-,14,5,21,7
10,Juan Quintero,COL 18/01/1993,,21,-,-,-,-,-,-,3,-,6,-
11,Cristian Tello,ESP 11/08/1991,,23,1,-,-,-,-,-,9,4,10,4
18,Adrián López,ESP 08/01/1988,,26,-,-,-,-,-,-,9,2,37,13
21,Ricardo,POR 06/10/1993,,20,1,-,-,-,-,-,1,-,4,-
28,Kelvin,BRA 01/06/1993,,21,-,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,,,,5

FC Porto - FC BATE Borisov,,,,Wednesday 17 September 2014 - 20.45CET (19.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,"Estádio do Dragão, Porto",,,
FC Porto,,,,,,,,,,,,,
,,,,,Current season,,,,,,All-time,,
,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
39,Gonçalo Paciência,POR 01/08/1994,20,-,-,-,-,-,-,-,-,-,-
49,André Silva,POR 06/11/1995,18,-,-,-,-,-,-,-,-,-,-
67,Frédéric Maciel,POR 15/03/1994,20,-,-,-,-,-,-,-,-,-,-
70,Luís Mata,POR 06/07/1997,17,-,-,-,-,-,-,-,-,-,-
79,Sérgio Ribeiro,POR 18/01/1996,18,-,-,-,-,-,-,-,-,-,-
80,Ivo Rodrigues,POR 30/03/1995,19,-,-,-,-,-,-,-,-,-,-
88,Ruben Macedo,POR 09/03/1996,18,-,-,-,-,-,-,-,-,-,-
90,Bruno Costa,POR 19/04/1997,17,-,-,-,-,-,-,-,-,-,-
99,Vincent Aboubakar,CMR 22/01/1992,22,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,
-,Julen Lopetegui,ESP 28/08/1966,48,2,-,-,-,-,-,-,-,2,-
,,,,,,,,,,,,,6
